GC,weightedBarPower,numProjects,stablePartners,activityType,betwCentrality
True,0.0205536,74.0,190.0,REC,128409.0
True,0.0887591,6.0,13.0,REC,256.685
True,0.0093566,30.0,44.0,HES,460.724
True,-0.0424501,5.0,6.0,REC,1.15227
True,-0.00455517,41.0,57.0,HES,2416.55
True,0.00794028,263.0,190.0,HES,58308.5
True,0.00945141,99.0,130.0,HES,21202.8
True,0.00381507,38.0,107.0,REC,12728.0
True,0.0104148,142.0,177.0,HES,48044.6
True,0.0108031,21.0,31.0,REC,1300.38
True,0.0825054,4.0,10.0,REC,53.5665
True,-0.00634544,9.0,9.0,REC,3175.89
True,0.0152341,24.0,58.0,REC,4648.68
True,-0.0133855,27.0,11.0,HES,676.613
True,-0.0118519,28.0,51.0,HES,3427.14
True,0.00247183,95.0,138.0,REC,71767.2
True,-0.00862818,10.0,4.0,PRC,1368.2
True,0.00680267,11.0,21.0,PRC,6433.63
True,-0.00650629,33.0,25.0,REC,14034.0
True,0.0212751,41.0,34.0,HES,2037.03
True,0.0012143,16.0,67.0,REC,2193.85
True,0.0119467,6.0,24.0,OTH,92.9834
True,-0.0109888,3.0,22.0,OTH,0.0175439
True,-0.00341717,49.0,113.0,REC,17315.7
True,0.00723468,196.0,177.0,HES,59449.9
True,0.0847191,2.0,22.0,OTH,0.0175439
True,-0.018565,21.0,13.0,HES,181.522
True,0.0247341,75.0,135.0,HES,48679.9
True,0.0220076,2.0,22.0,REC,0.0175439
True,-0.0272311,2.0,22.0,REC,0.0175439
True,-0.0145048,45.0,78.0,HES,20798.2
True,-0.0227631,9.0,22.0,HES,0.0175439
True,-0.0321157,141.0,244.0,HES,81742.9
True,-0.0216256,7.0,58.0,PUB,1985.95
True,-0.0245209,2.0,22.0,REC,0.0175439
True,-0.0195862,8.0,58.0,PUB,1985.95
True,-0.029084,11.0,23.0,HES,21.0123
True,-0.023762,3.0,1.0,REC,0.0
True,-0.00838345,17.0,14.0,HES,25.8826
True,0.00159716,106.0,96.0,HES,19025.2
True,-0.033394,6.0,3.0,PUB,82.8472
True,0.0100426,5.0,1.0,PRC,0.0
True,0.0216534,7.0,2.0,REC,0.0
True,0.137241,2.0,3.0,REC,0.0
True,-0.0122087,2.0,5.0,OTH,0.0
True,0.0561621,4.0,9.0,REC,286.486
True,-0.0339097,3.0,9.0,PRC,3235.92
True,-0.0264029,9.0,11.0,REC,6257.08
True,0.0520793,3.0,10.0,OTH,39.2887
True,-0.0866549,4.0,5.0,OTH,0.0
True,0.0158982,4.0,7.0,REC,1575.04
True,-0.0157666,7.0,13.0,PUB,6509.81
True,0.0141156,14.0,28.0,REC,23469.6
True,0.0163723,5.0,14.0,PRC,1022.78
True,0.0169012,8.0,9.0,OTH,4722.81
True,-0.0562199,4.0,1.0,PRC,0.0
True,-0.0112849,26.0,17.0,HES,1527.56
True,0.0420125,82.0,100.0,HES,34942.3
True,-0.0212531,4.0,1.0,PRC,0.0
True,-0.0254308,6.0,4.0,OTH,127.83
True,0.0185189,3.0,3.0,PRC,1.07407
True,-0.0241856,11.0,6.0,PRC,3642.49
True,-0.0325224,2.0,1.0,PRC,0.0
True,0.0123788,34.0,33.0,REC,11646.5
True,-0.0133389,4.0,3.0,PRC,0.0
True,-0.0245948,24.0,20.0,HES,59.8957
True,0.0139461,2.0,2.0,REC,0.0
True,0.0153201,167.0,199.0,HES,88016.6
True,0.0719716,3.0,3.0,PRC,58.2893
True,0.0219028,13.0,14.0,REC,3766.37
True,0.00452592,2.0,2.0,PRC,0.0
True,0.00989716,50.0,76.0,HES,27450.3
True,0.0137744,37.0,12.0,HES,309.223
True,-0.00750819,2.0,2.0,PRC,0.0
True,0.0096693,74.0,116.0,PRC,63642.6
True,0.006322,22.0,42.0,REC,8493.94
True,0.0225207,29.0,20.0,HES,3531.67
True,-0.00905836,23.0,92.0,REC,18109.0
True,-0.0487762,5.0,3.0,PRC,1.20954
True,0.00541,74.0,79.0,HES,26657.0
True,0.00913944,11.0,2.0,HES,0.0
True,0.00143171,7.0,15.0,PRC,79.7582
True,-0.00121887,8.0,9.0,REC,2704.58
True,-0.0292505,56.0,112.0,HES,16820.6
True,-0.0270826,3.0,2.0,PRC,0.0
True,0.00431424,32.0,38.0,HES,6765.69
True,-0.0661716,28.0,28.0,REC,1160.46
True,0.10956,3.0,5.0,REC,0.0
True,-0.0622252,2.0,1.0,OTH,0.0
True,0.00986662,5.0,6.0,PUB,1.35
True,-0.0190033,12.0,7.0,REC,19.2435
True,0.0101139,5.0,6.0,REC,1.35
