"stableDegree";"stablePartners";"K-Core";"TentativeSIC";"acronym";"activityType";"barPower";"betwCentrality";"birthDate";"call";"city";"commDate";"country";"ecContribution";"ecMaxContribution";"endDate";"endOfParticipation";"fundingScheme";"intimacy";"manager";"moneyTogether";"myMoney";"name";"numPartners";"numProjects";"objective";"orgId";"organizationUrl";"postCode";"programme";"projectNode";"projectUrl";"projectsTogether";"rcn";"relationshipValue";"role";"shortName";"startDate";"status";"street";"topics";"totMoney";"totalCost";"wBarPower";"weightedBarPower"
50;25;0;;;"HES";0;8319.83;0;;"WIEN";0;"AT";0;0;;false;;0;false;0;0;"UNIVERSITAET FUER BODENKULTUR WIEN";388;32;;"999987357";;;;false;;0;;0;;"BOKU";;;"GREGOR MENDEL STRASSE 33";;1.30134e+07;0;0;0.00557154
22;11;0;;;"PUB";0;3211.74;0;;"VALBY";0;"DK";0;0;;false;;0;false;0;0;"KOBENHAVNS KOMMUNE";184;10;;"974788115";;;;false;;0;;0;;"KOBENHAVNS KOMMUNE";;;"OTTILIAVEJ 1";;4.09709e+06;0;0;0.00751827
2;1;0;;;"PUB";0;0;0;;"SKOPJE";0;"MK";0;0;;false;;0;false;0;0;"CITY OF SKOPJE";50;3;;"989434048";;;;false;;0;;0;;"SKOPJE";;;"BOULEVARD ILINDEN 82 SKOPJE CENTER";;204712;0;0;-0.0292333
282;141;0;;;"HES";0;32279.1;0;;"DRESDEN";0;"DE";0;0;;false;;0;false;0;0;"TECHNISCHE UNIVERSITAET DRESDEN";741;82;;"999897729";;;;false;;0;;0;;"TUD";;;"HELMHOLTZSTRASSE  10";;4.74275e+07;0;0;-0.000754182
222;111;0;;;"HES";0;18146.1;0;;"AMSTERDAM";0;"NL";0;0;;false;;0;false;0;0;"UNIVERSITEIT VAN AMSTERDAM";487;98;;"999985708";;;;false;;0;;0;;"UVA";;;"SPUI 21";;6.90697e+07;0;0;0.00101351
60;30;0;;;"HES";0;5274.26;0;;"COVENTRY";0;"UK";0;0;;false;;0;false;0;0;"THE UNIVERSITY OF WARWICK";259;85;;"999976784";;;;false;;0;;0;;"WARWICK";;;"Kirby Corner Road - University House";;5.15652e+07;0;0;0.0191333
2;1;0;;;"PRC";0;0;0;;"Regensburg";0;"DE";0;0;;false;;0;false;0;0;"OSRAM OLED GMBH";9;2;;"935840481";;;;false;;0;;0;;"OSRAM OLED GMBH";;;"Wernerwerkstraße 2";;1.71324e+06;0;0;0.0564481
1016;508;0;;;"REC";0;468603;0;;"ROMA";0;"IT";0;0;;false;;0;false;0;0;"CONSIGLIO NAZIONALE DELLE RICERCHE";1867;244;;"999979500";;;;false;;0;;0;;"CNR";;;"PIAZZALE ALDO MORO 7";;1.12355e+08;0;0;0.0163659
2;1;0;;;"PRC";0;0;0;;"REGENSBURG";0;"DE";0;0;;false;;0;false;0;0;"OSRAM OPTO SEMICONDUCTORS GMBH";9;2;;"999788992";;;;false;;0;;0;;"OS";;;"LEIBNIZSTRASSE 4";;0;0;0;-0.166667
16;8;0;;;"REC";0;113.481;0;;"ZAMUDIO";0;"ES";0;0;;false;;0;false;0;0;"FUNDACION GAIKER";101;6;;"999615071";;;;false;;0;;0;;"GAIKER";;;"Parque Tecnologico de Zamudio, Edificio 202";;1.7954e+06;0;0;-0.0192382
250;125;0;;;"HES";0;19347.5;0;;"UPPSALA";0;"SE";0;0;;false;;0;false;0;0;"UPPSALA UNIVERSITET";587;76;;"999985029";;;;false;;0;;0;;"UU";;;"SANKT OLOFSGATAN 10 B";;4.61556e+07;0;0;-0.00916204
1408;704;0;;;"REC";0;1.18555e+06;0;;"MUNCHEN";0;"DE";0;0;;false;;0;false;0;0;"FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.";3143;403;;"999984059";;;;false;;0;;0;;"Fraunhofer";;;"HANSASTRASSE 27C";;2.2223e+08;0;0;0.0228752
4;2;0;;;"PRC";0;0;0;;"AJANGIZ";0;"ES";0;0;;false;;0;false;0;0;"MAIER SCOOP";83;6;;"998473090";;;;false;;0;;0;;"MAIER";;;"POLIGONO INDUSTRIAL ARABIETA S/N";;2.25393e+06;0;0;-0.00942885
46;23;0;;;"REC";0;9210.49;0;;"CAPARICA";0;"PT";0;0;;false;;0;false;0;0;"UNINOVA-INSTITUTO DE DESENVOLVIMENTO DE NOVAS TECNOLOGIAS-ASSOCIACAO";245;22;;"999633889";;;;false;;0;;0;;"UNINOVA";;;"CAMPUS DA CAPARICA QUINTA DA TORRE";;9.97602e+06;0;0;0.0131717
12;6;0;;;"PRC";0;166.372;0;;"ESPOO";0;"FI";0;0;;false;;0;false;0;0;"PICOSUN OY";104;7;;"999503812";;;;false;;0;;0;;"PICOSUN OY";;;"TIETOTIE 3";;2.02311e+06;0;0;-0.0244879
18;9;0;;;"REC";0;211.388;0;;"SAN SEBASTIAN";0;"ES";0;0;;false;;0;false;0;0;"FUNDACION CIDETEC";134;13;;"999461229";;;;false;;0;;0;;"CIDE";;;"PASEO MIRAMON 196 PARQUE TECNOLOGICO DE MIRAMON";;7.61856e+06;0;0;0.0269356
12;6;0;;;"PUB";0;117.117;0;;"BIRMINGHAM";0;"UK";0;0;;false;;0;false;0;0;"BIRMINGHAM CITY COUNCIL";109;9;;"999624480";;;;false;;0;;0;;"BIR";;;"COUNCIL HOUSE, VICTORIA SQUARE";;1.30871e+06;0;0;-0.0247709
2;1;0;;;"REC";0;0;0;;"Wroclaw";0;"PL";0;0;;false;;0;false;0;0;"Wroclawskie Centrum Badan EIT+ Sp z o.o";36;3;;"998224188";;;;false;;0;;0;;"WRC EIT+";;;"UL. STABLOWICKA 147";;225937;0;0;-0.0420294
60;30;0;;;"OTH";0;24156.3;0;;"Freiburg";0;"DE";0;0;;false;;0;false;0;0;"ICLEI EUROPEAN SECRETARIAT GMBH (ICLEI EUROPASEKRETARIAT GMBH)*";297;22;;"998341364";;;;false;;0;;0;;"ICLEI EURO";;;"Leopoldring 3";;7.86199e+06;0;0;0.00952569
14;7;0;;;"HES";0;37.9949;0;;"PRAHA 8";0;"CZ";0;0;;false;;0;false;0;0;"FYZIKALNI USTAV AV CR V.V.I";69;11;;"999873867";;;;false;;0;;0;;"IoP-PALS";;;"NA SLOVANCE 2";;2.73031e+06;0;0;-0.0202543
210;105;0;;;"REC";0;13845;0;;"SWINDON";0;"UK";0;0;;false;;0;false;0;0;"SCIENCE AND TECHNOLOGY FACILITIES COUNCIL";360;43;;"999980179";;;;false;;0;;0;;"STFC";;;"Polaris House North Star Avenue";;1.9287e+07;0;0;-0.0086586
50;25;0;;;"HES";0;8574.12;0;;"LULEA";0;"SE";0;0;;false;;0;false;0;0;"LULEA TEKNISKA UNIVERSITET";327;26;;"999876874";;;;false;;0;;0;;"LTU";;;"UNIVERSITETSOMRADET PORSON";;1.15764e+07;0;0;0.01745
344;172;0;;;"HES";0;63557.5;0;;"AACHEN";0;"DE";0;0;;false;;0;false;0;0;"RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN";845;91;;"999983962";;;;false;;0;;0;;"RWTH AACHEN";;;"TEMPLERGRABEN 55";;5.32064e+07;0;0;-0.00272755
50;25;0;;;"HES";0;11270.3;0;;"ATHENS";0;"EL";0;0;;false;;0;false;0;0;"ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS - RESEARCH CENTER";275;16;;"999896856";;;;false;;0;;0;;"AUEB-RC";;;"KEFALLINIAS STREET 46";;4.91391e+06;0;0;-0.00762957
66;33;0;;;"HES";0;3251.32;0;;"PARMA";0;"IT";0;0;;false;;0;false;0;0;"CONSORZIO NAZIONALE INTERUNIVERSITARIO PER LE TELECOMUNICAZIONI";306;20;;"999649603";;;;false;;0;;0;;"CNIT";;;"VIALE G. P. USBERTI 181A";;9.81366e+06;0;0;0.0106866
8;4;0;;;"REC";0;6.4173;0;;"LISBOA";0;"PT";0;0;;false;;0;false;0;0;"INSTITUTO DE MEDICINA MOLECULAR";62;19;;"999813339";;;;false;;0;;0;;"IMM";;;"AVENIDA PROF EGAS MONIZ";;1.85196e+07;0;0;0.0778926
96;48;0;;;"HES";0;4967.3;0;;"BARCELONA";0;"ES";0;0;;false;;0;false;0;0;"UNIVERSIDAD POMPEU FABRA";314;46;;"999867077";;;;false;;0;;0;;"UPF";;;"PLACA DE LA MERCE, 10-12";;2.18722e+07;0;0;0.00672516
20;10;0;;;"HES";0;6476.5;0;;"PAMPLONA";0;"ES";0;0;;false;;0;false;0;0;"UNIVERSIDAD DE NAVARRA";98;10;;"999641746";;;;false;;0;;0;;"UNAV";;;"CAMPUS UNIVERSITARIO EDIFICIO CENTRAL";;4.61936e+06;0;0;-0.00166096
120;60;0;;;"HES";0;32799.9;0;;"CORK";0;"IE";0;0;;false;;0;false;0;0;"UNIVERSITY COLLEGE CORK -  NATIONAL UNIVERSITY OF IRELAND, CORK";552;67;;"999975717";;;;false;;0;;0;;"UCC";;;"WESTERN ROAD";;3.57932e+07;0;0;0.0189709
28;14;0;;;"PRC";0;223.336;0;;"PARIS";0;"FR";0;0;;false;;0;false;0;0;"LGI CONSULTING";106;10;;"999677733";;;;false;;0;;0;;"LGI";;;"RUE MARIVAUX 13";;3.18853e+06;0;0;0.0251942
4;2;0;;;"PRC";0;0;0;;"GLASGOW";0;"UK";0;0;;false;;0;false;0;0;"INTEGRATED ENVIRONMENTAL SOLUTIONS LIMITED";51;5;;"970272474";;;;false;;0;;0;;"IES";;;"KELVIN CAMPUS WEST OF SCOTLAND SCIENCE PARK HELIX BUILDING";;2.34287e+06;0;0;0.0240348
24;12;0;;;"PRC";0;1166.63;0;;"GENOVA";0;"IT";0;0;;false;;0;false;0;0;"STAMTECH SRL";144;12;;"996793923";;;;false;;0;;0;;"STAM";;;"VIA VENTI SETTEMBRE 18/5";;4.7046e+06;0;0;0.000576227
8;4;0;;;"HES";0;73.6582;0;;"LIVERPOOL";0;"UK";0;0;;false;;0;false;0;0;"LIVERPOOL JOHN MOORES UNIVERSITY";78;12;;"998079949";;;;false;;0;;0;;"LJMU";;;"RODNEY STREET 2 EGERTON COURT";;5.49448e+06;0;0;0.0297372
16;8;0;;;"PRC";0;5940.14;0;;"GENT";0;"BE";0;0;;false;;0;false;0;0;"ORGANIC WASTE SYSTEMS NV";92;7;;"999743790";;;;false;;0;;0;;"OWS";;;"DOK NOORD 5";;2.55233e+06;0;0;0.000546073
22;11;0;;;"REC";0;26.9601;0;;"BELLATERRA";0;"ES";0;0;;false;;0;false;0;0;"CENTRO DE INVESTIGACION ECOLOGICA YAPLICACIONES FORESTALES";99;8;;"998880005";;;;false;;0;;0;;"CREAF";;;"UNIVERSITAT AUTONOMA DE BARCELONA EDIFICI C";;1.82621e+06;0;0;0.00464839
54;27;0;;;"REC";0;3518.24;0;;"LAXENBURG";0;"AT";0;0;;false;;0;false;0;0;"INTERNATIONALES INSTITUT FUER ANGEWANDTE SYSTEMANALYSE";189;13;;"999452596";;;;false;;0;;0;;"IIASA";;;"Schlossplatz  1";;5.23434e+06;0;0;0.0112044
34;17;0;;;"REC";0;108.497;0;;"BRUXELLES";0;"BE";0;0;;false;;0;false;0;0;"INSTITUT ROYAL D'AERONOMIE SPATIALE DE BELGIQUE";105;8;;"999642134";;;;false;;0;;0;;"IASB - BIRA";;;"AVENUE CIRCULAIRE 3";;2.1467e+06;0;0;0.00345294
12;6;0;;;"PRC";0;28.5551;0;;"DELFT";0;"NL";0;0;;false;;0;false;0;0;"SCIENCE AND TECHNOLOGY BV";102;6;;"990406085";;;;false;;0;;0;;"S&T  B.V.";;;"OLOF PALMESTRAAT 14";;620545;0;0;-0.02553
82;41;0;;;"HES";0;10398.6;0;;"EXETER";0;"UK";0;0;;false;;0;false;0;0;"THE UNIVERSITY OF EXETER";363;61;;"999864555";;;;false;;0;;0;;"UNEXE";;;"Northcote House, The Queen's Drive";;3.94331e+07;0;0;0.0168935
8;4;0;;;"OTH";0;0.614217;0;;"BRUXELLES";0;"BE";0;0;;false;;0;false;0;0;"EUROPEAN ASSOCIATION OF REMOTE SENSING COMPANIES";54;3;;"952204478";;;;false;;0;;0;;"EARSC";;;"RUE BERANGER 26";;432179;0;0;-0.0113623
804;402;0;;;"REC";0;235096;0;;"MADRID";0;"ES";0;0;;false;;0;false;0;0;"AGENCIA ESTATAL CONSEJO SUPERIOR DEINVESTIGACIONES CIENTIFICAS";1530;233;;"999991722";;;;false;;0;;0;;"CSIC";;;"CALLE SERRANO 117";;1.09318e+08;0;0;0.00459687
32;16;0;;;"OTH";0;14.6062;0;;"Münster";0;"DE";0;0;;false;;0;false;0;0;"52°North Initiative for Geospatial Open Source Software GmbH";92;5;;"997237407";;;;false;;0;;0;;"52N";;;"Martin-Luther-King-Weg   24";;445268;0;0;-0.0194832
48;24;0;;;"REC";0;4557.34;0;;"PARIS";0;"FR";0;0;;false;;0;false;0;0;"ASSOCIATION POUR LA RECHERCHE ET LE DEVELOPPEMENT DES METHODES ET PROCESSUS INDUSTRIELS";282;24;;"999981246";;;;false;;0;;0;;"ARMINES";;;"BOULEVARD SAINT MICHEL 60";;1.09485e+07;0;0;0.00263554
10;5;0;;;"HES";0;3.7787;0;;"PARIS";0;"FR";0;0;;false;;0;false;0;0;"INSTITUT MINES-TELECOM";120;13;;"999849326";;;;false;;0;;0;;"IMT";;;"37 39 RUE DAREAU";;5.45563e+06;0;0;-0.00397812
56;28;0;;;"REC";0;448.01;0;;"KJELLER";0;"NO";0;0;;false;;0;false;0;0;"NORSK INSTITUTT FOR LUFTFORSKNING";168;10;;"999654162";;;;false;;0;;0;;"NORSK INSTITUTT FOR LUFTFORSKNING";;;"Instituttveien  18";;5.69415e+06;0;0;-0.000456324
22;11;0;;;"OTH";0;4.02423;0;;"PARIS";0;"FR";0;0;;false;;0;false;0;0;"IEEE FRANCE SECTION";79;3;;"998055505";;;;false;;0;;0;;"IEEE";;;"RUE DE LA TOUR 14";;233932;0;0;-0.0117774
148;74;0;;;"REC";0;9791.7;0;;"LECCE";0;"IT";0;0;;false;;0;false;0;0;"FONDAZIONE CENTRO EURO-MEDITERRANEO SUI CAMBIAMENTI CLIMATICI";292;21;;"999419422";;;;false;;0;;0;;"CMCC";;;"VIA A IMPERATORE 16";;7.12852e+06;0;0;-0.000322097
68;34;0;;;"HES";0;15927.3;0;;"SEVILLA";0;"ES";0;0;;false;;0;false;0;0;"UNIVERSIDAD DE SEVILLA";206;27;;"999862518";;;;false;;0;;0;;"USE";;;"CALLE S. FERNANDO 4";;1.12333e+07;0;0;-0.0121149
686;343;0;;;"REC";0;346841;0;;"KOELN";0;"DE";0;0;;false;;0;false;0;0;"DEUTSCHES ZENTRUM FUER LUFT - UND RAUMFAHRT EV";1080;159;;"999981731";;;;false;;0;;0;;"DLR";;;"Linder Hoehe";;8.38611e+07;0;0;0.0397674
4;2;0;;;"REC";0;6270;0;;"Seville";0;"ES";0;0;;false;;0;false;0;0;"FUNDACION ANDALUZA PARA EL DESARROLLO AEROESPACIAL";39;4;;"998189850";;;;false;;0;;0;;"FADA-CATEC";;;"CALLE TORNEO 26";;1.39815e+06;0;0;0.00432931
4;2;0;;;"REC";0;3136;0;;"NAPOLI";0;"IT";0;0;;false;;0;false;0;0;"C.R.E.A.T.E. CONSORZIO DI RICERCA PER L'ENERGIA L AUTOMAZIONE E LE TECNOLOGIE DELL'ELETTROMAGNETISMO";28;3;;"954718427";;;;false;;0;;0;;"CREATE";;;"VIA CLAUDIO 21";;1.274e+06;0;0;0.0108059
132;66;0;;;"HES";0;35342.7;0;;"BARCELONA";0;"ES";0;0;;false;;0;false;0;0;"UNIVERSITAT POLITECNICA DE CATALUNYA";524;69;;"999976202";;;;false;;0;;0;;"UPC";;;"CALLE JORDI GIRONA 31";;3.41516e+07;0;0;0.0107458
